ID,Status,Number_of_port,location,Lat,Lon,Address
113,U,2,"https://www.google.com/maps/place/Tesla+Destination+Charger/@40.5614014,-111.9012386,18.75z/data=!4m13!1m7!3m6!1s0x875287cb9fdee947:0x3d0730b7c20bd093!2s10499+S+Jordan+Gateway,+South+Jordan,+UT+84095!3b1!8m2!3d40.5610943!4d-111.9015266!3m4!1s0x875287cb76ad6e9b:0x2e4518f652936d84!8m2!3d40.5610016!4d-111.9020793",40.5610016,-111.9020793,"10499 S Jordan Gateway, South Jordan, UT 84095"
114,A,2,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.5355461,-111.8950303,18.25z/data=!4m13!1m7!3m6!1s0x87528706f4e443c5:0x9333051e912a289c!2s180+S+Election+Rd,+Draper,+UT+84020!3b1!8m2!3d40.535589!4d-111.8958907!3m4!1s0x87528706568d9f8d:0x1ac72b560f24ff99!8m2!3d40.5364569!4d-111.8953838",40.5364569,-111.8953838,"170 West S Election Rd, Draper, UT 84020"
115,A,4,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.5361605,-111.8953877,17.5z/data=!4m13!1m7!3m6!1s0x87528706f4e443c5:0x9333051e912a289c!2s180+S+Election+Rd,+Draper,+UT+84020!3b1!8m2!3d40.535589!4d-111.8958907!3m4!1s0x87528707135043b7:0x4dbe58dcd8c97f7f!8m2!3d40.5377462!4d-111.8966901",40.5377462,-111.8966901,"11781 Lone Peak Pkwy, Draper, UT 84020"
116,A,2,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.5278261,-111.8562002,16z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x0:0x5b9d1323c7a0ee28!8m2!3d40.5291909!4d-111.8592565",40.5291909,-111.8592565,"1101 Draper Pkwy, Draper, UT 84020"
117,A,4,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.5266518,-111.8572302,16z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x0:0x93b9fbf35fee6c26!8m2!3d40.5251195!4d-111.8616034",40.5251195,-111.8616034,"1020 Pioneer Rd, Draper, UT 84020"
118,A,4,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.5266518,-111.8572302,16z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x0:0xa64fe598c7d59ce3!8m2!3d40.5242062!4d-111.8542381",40.5242062,-111.8542381,"12500 1300 E, Draper, UT 84020"
119,U,1,"https://www.google.com/maps/place/SemaConnect+Charging+Station/@40.5281869,-111.853084,19z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x87527d8b2a33a27d:0xffa2bd277cda4ddc!8m2!3d40.5281986!4d-111.8534958",40.5281986,-111.8534958,"1311 Draper Pkwy, Draper, UT 84020"
120,A,10,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.5002952,-111.8871576,18z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x0:0x865f304747a73e9f!8m2!3d40.5003851!4d-111.88857",40.5003851,-111.88857,"98 13800 S, Draper, UT 84020"
121,A,4,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.491198,-111.8750653,16.75z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x0:0xbcc885f224a0a163!8m2!3d40.4912301!4d-111.8718696",40.4912301,-111.8718696,"657 Vestry Rd, Draper, UT 84020"
122,A,12,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.4818331,-111.8895341,15.25z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x0:0xd7d946fcdce2f5ed!8m2!3d40.48499!4d-111.8955588",40.48499,-111.8955588,"14717 Minuteman Dr, Draper, UT 84020"
123,A,1,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.4818331,-111.8895341,15.25z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x0:0x7bda62aff51cb65!8m2!3d40.4819238!4d-111.8984127",40.4819238,-111.8984127,"14814 Minuteman Dr, Draper, UT 84020"
124,A,4,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.4818331,-111.8895341,15.25z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x0:0xdc3c038e668479ea!8m2!3d40.4804426!4d-111.8920907",40.4804426,-111.8920907,"15 W Scenic Pointe Dr, Draper, UT 84020"
125,A,12,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.4837971,-111.8961677,19z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x875280dc5659a30f:0x7629e6a1da77649b!8m2!3d40.4837971!4d-111.8957808",40.4837971,-111.8957808,"14727 Minuteman Dr, Draper, UT 84020"
